   NO.      Round     Ori_Content   Lack_Content   Extra_Content   Final_Cover  
   166        18           5              0              0             1.0             6       
   167        16           6              1              0       0.8333333333333334       5       
   168        10           2              0              0             1.0             3       
   169        17           7              1              0       0.8571428571428571       6       
   170        16           6              1              0       0.8333333333333334       5       
   171        15           5              1              0             0.8             4       
   172        17           6              1              0       0.8333333333333334       6       
   173        16           5              0              0             1.0             5       
   174        18           5              0              0             1.0             6       
   175        18           5              1              0             0.8             5       
   176        11           4              0              0             1.0             5       
   177        18           5              1              0             0.8             5       
   178        16           3              0              0             1.0             3       
   179        16           6              1              0       0.8333333333333334       5       
   180        19           6              1              0       0.8333333333333334       5       
   181        18           5              1              0             0.8             5       
   182        17           4              1              0            0.75             3       
   183        18           8              1              0            0.875            7       
   184        16           5              0              0             1.0             5       
   185        15           5              0              0             1.0             5       
   186        16           6              0              0             1.0             7       
   187        14           3              0              0             1.0             4       
   188        17           4              1              0            0.75             3       
   189        10           2              0              0             1.0             3       
   190        14           3              0              0             1.0             3       
   191        15           5              1              0             0.8             5       
   192        19           6              0              0             1.0             6       
   193        14           4              0              0             1.0             5       
   194        16           3              0              0             1.0             3       
   195        18           5              1              0             0.8             5       
   196        11           3              1              0       0.6666666666666666       3       
   197        16           5              0              0             1.0             5       
   198        17           6              1              0       0.8333333333333334       6       
   199        19           6              1              0       0.8333333333333334       5       
   200        16           3              0              0             1.0             3       
   201        15           5              0              0             1.0             5       
   202        17           4              1              0            0.75             3       
   203        16           3              0              0             1.0             3       
   204        14           3              0              0             1.0             3       
   205        19           6              0              0             1.0             6       
   206        20           8              1              0            0.875            8       
   207        18           5              1              0             0.8             5       
   208        16           3              0              0             1.0             3       
   209        17           4              1              0            0.75             4       
   210        16           6              1              0       0.8333333333333334       6       
   211        16           4              0              0             1.0             5       
   212        15           5              0              0             1.0             5       
   213        16           3              0              0             1.0             3       
   214        18           5              1              0             0.8             5       
   215        18           5              1              0             0.8             5       
   216        19           6              0              0             1.0             7       
   217        10           6              0              0             1.0             6       
   218        17           4              0              0             1.0             5       
   219        15           4              1              0            0.75             4       
   220        20           7              1              0       0.8571428571428571       7       
   221        17           4              0              0             1.0             5       
   222        18           5              1              0             0.8             4       
   223        18           5              1              0             0.8             5       
   224        11           3              1              0       0.6666666666666666       2       
   225        18           8              1              0            0.875            7       
   226        16           6              1              0       0.8333333333333334       5       
   227        19           6              0              0             1.0             7       
   228        14           3              0              0             1.0             4       
   229        12           3              0              0             1.0             3       
   230        20           7              1              0       0.8571428571428571       6       
   231        10           2              0              0             1.0             2       
   232        18           5              1              0             0.8             5       
   233        15           5              0              0             1.0             5       
   234        19           6              1              0       0.8333333333333334       6       
   235        18           5              1              0             0.8             6       
   236        18           5              1              0             0.8             5       
   237        17           7              1              0       0.8571428571428571       7       
   238        17           4              0              0             1.0             4       
   239        18           5              1              0             0.8             5       
   240        18           6              0              0             1.0             6       
   241        14           3              0              0             1.0             5       
   242        21           8              0              0             1.0             8       
   243        17           4              0              0             1.0             5       
   244        18           5              1              0             0.8             5       
   245        12           6              1              0       0.8333333333333334       5       
   246        18           5              1              0             0.8             5       
   247        14           3              0              0             1.0             3       
   248        17           4              1              0            0.75             3       
   249        18           5              1              0             0.8             5       
   250        10           2              0              0             1.0             2       
   251        9            5              0              0             1.0             6       
   252        16           6              1              0       0.8333333333333334       6       
   253        18           6              1              0       0.8333333333333334       5       
   254        18           5              1              0             0.8             5       
   255        17           6              1              0       0.8333333333333334       5       
   256        18           5              1              0             0.8             5       
   257        17           7              1              0       0.8571428571428571       6       
   258        19           6              1              0       0.8333333333333334       5       
   259        18           6              1              0       0.8333333333333334       5       
   260        19           6              1              0       0.8333333333333334       6       
   261        8            4              0              0             1.0             4       
   262        14           4              0              0             1.0             4       
   263        17           7              1              0       0.8571428571428571       6       
   264        11           2              0              0             1.0             3       
   265        20           7              1              0       0.8571428571428571       7       
   266        17           4              1              0            0.75             4       
   267        20           7              1              0       0.8571428571428571       6       
   268        18           5              1              0             0.8             5       
   269        19           7              1              0       0.8571428571428571       7       
   270        16           5              0              0             1.0             6       
   271        17           7              1              0       0.8571428571428571       7       
   272        16           5              1              0             0.8             4       
   273        14           4              0              0             1.0             4       
   274        16           6              1              0       0.8333333333333334       6       
   275        19           7              1              0       0.8571428571428571       6       
   276        14           4              0              0             1.0             5       
   277        18           5              1              0             0.8             5       
   278        20           7              1              0       0.8571428571428571       6       
   279        19           7              1              0       0.8571428571428571       7       
   280        18           5              1              0             0.8             5       
   281        18           6              1              0       0.8333333333333334       5       
   282        19           6              0              0             1.0             7       
   283        19           6              1              0       0.8333333333333334       5       
   284        17           4              0              0             1.0             5       
   285        19           6              1              0       0.8333333333333334       6       
   286        20           7              1              0       0.8571428571428571       7       
   287        15           4              0              0             1.0             4       
   288        18           5              1              0             0.8             5       
   289        20           7              1              0       0.8571428571428571       7       
   290        18           5              1              0             0.8             4       
   291        15           5              0              0             1.0             6       
   292        20           7              1              0       0.8571428571428571       6       
   293        18           5              0              0             1.0             5       
   294        11           5              0              0             1.0             5       
   295        15           5              0              0             1.0             6       
   296        20          10              1              0             0.9             9       
   297        13           4              0              0             1.0             5       
   298        11           5              0              0             1.0             5       
   299        14           3              0              0             1.0             3       
   300        18           5              0              0             1.0             6       
   301        16           6              0              0             1.0             6       
   302        19           6              1              0       0.8333333333333334       5       
   303        20           7              1              0       0.8571428571428571       7       
   304        17           4              1              0            0.75             3       
   305        16           5              1              0             0.8             4       
   306        16           6              0              0             1.0             7       
   307        17           7              2              0       0.7142857142857143       6       
   308        10           2              0              0             1.0             2       
   309        19           6              1              0       0.8333333333333334       6       
   310        15           6              1              0       0.8333333333333334       5       
   311        14           4              0              0             1.0             4       
   312        19           6              1              0       0.8333333333333334       6       
   313        18           5              1              0             0.8             5       
   314        17           6              0              0             1.0             6       
   315        17           7              1              0       0.8571428571428571       6       
   316        18           6              1              0       0.8333333333333334       6       
   317        17           6              1              0       0.8333333333333334       5       
   318        16           5              0              0             1.0             5       
   319        20           7              1              0       0.8571428571428571       6       
   320        18           5              0              0             1.0             5       
   321        18           5              1              0             0.8             5       
   322        17           7              1              0       0.8571428571428571       6       
   323        19           6              1              0       0.8333333333333334       6       
