   NO.      Round     Ori_Content   Lack_Content   Extra_Content   Final_Cover  
   166        17           5              0              0             1.0             5       
   167        16           6              1              0       0.8333333333333334       5       
   168        10           2              0              0             1.0             3       
   169        17           7              1              0       0.8571428571428571       6       
   170        16           6              1              0       0.8333333333333334       5       
   171        15           5              1              0             0.8             5       
   172        17           6              1              0       0.8333333333333334       5       
   173        16           5              0              0             1.0             6       
   174        17           5              0              0             1.0             6       
   175        17           5              1              0             0.8             4       
   176        11           4              0              0             1.0             4       
   177        17           5              1              0             0.8             5       
   178        15           3              0              0             1.0             3       
   179        16           6              1              0       0.8333333333333334       5       
   180        18           6              1              0       0.8333333333333334       5       
   181        17           5              1              0             0.8             4       
   182        16           4              1              0            0.75             3       
   183        18           8              1              0            0.875            7       
   184        16           5              0              0             1.0             6       
   185        15           5              0              0             1.0             6       
   186        16           6              0              0             1.0             6       
   187        14           3              0              0             1.0             4       
   188        16           4              1              0            0.75             3       
   189        10           2              0              0             1.0             2       
   190        14           3              0              0             1.0             4       
   191        15           5              1              0             0.8             4       
   192        18           6              0              0             1.0             6       
   193        14           4              0              0             1.0             4       
   194        15           3              0              0             1.0             3       
   195        17           5              1              0             0.8             5       
   196        11           3              1              0       0.6666666666666666       3       
   197        16           5              0              0             1.0             5       
   198        17           6              1              0       0.8333333333333334       5       
   199        18           6              1              0       0.8333333333333334       5       
   200        15           3              0              0             1.0             3       
   201        15           5              0              0             1.0             6       
   202        16           4              1              0            0.75             3       
   203        15           3              0              0             1.0             3       
   204        14           3              0              0             1.0             4       
   205        18           6              0              0             1.0             7       
   206        19           8              1              0            0.875            7       
   207        17           5              1              0             0.8             5       
   208        15           3              0              0             1.0             3       
   209        16           4              1              0            0.75             3       
   210        16           6              1              0       0.8333333333333334       5       
   211        15           4              0              0             1.0             5       
   212        15           5              0              0             1.0             6       
   213        15           3              0              0             1.0             3       
   214        17           5              1              0             0.8             4       
   215        17           5              1              0             0.8             4       
   216        18           6              0              0             1.0             6       
   217        10           6              0              0             1.0             6       
   218        16           4              0              0             1.0             5       
   219        15           4              1              0            0.75             5       
   220        19           7              1              0       0.8571428571428571       7       
   221        16           4              0              0             1.0             5       
   222        17           5              1              0             0.8             5       
   223        17           5              1              0             0.8             5       
   224        11           3              1              0       0.6666666666666666       3       
   225        18           8              1              0            0.875            7       
   226        16           6              1              0       0.8333333333333334       6       
   227        18           6              0              0             1.0             7       
   228        14           3              0              0             1.0             4       
   229        12           3              0              0             1.0             3       
   230        19           7              1              0       0.8571428571428571       6       
   231        10           2              0              0             1.0             3       
   232        17           5              1              0             0.8             5       
   233        15           5              0              0             1.0             5       
   234        18           6              1              0       0.8333333333333334       5       
   235        17           5              1              0             0.8             4       
   236        17           5              1              0             0.8             5       
   237        17           7              1              0       0.8571428571428571       7       
   238        16           4              0              0             1.0             4       
   239        17           5              1              0             0.8             5       
   240        17           6              0              0             1.0             6       
   241        14           3              0              0             1.0             4       
   242        20           8              0              0             1.0             9       
   243        16           4              0              0             1.0             4       
   244        17           5              1              0             0.8             4       
   245        12           6              1              0       0.8333333333333334       6       
   246        17           5              1              0             0.8             4       
   247        14           3              0              0             1.0             5       
   248        16           4              1              0            0.75             3       
   249        17           5              1              0             0.8             5       
   250        10           2              0              0             1.0             2       
   251        9            5              0              0             1.0             5       
   252        16           6              1              0       0.8333333333333334       5       
   253        17           6              1              0       0.8333333333333334       5       
   254        17           5              1              0             0.8             5       
   255        17           6              1              0       0.8333333333333334       5       
   256        17           5              1              0             0.8             5       
   257        17           7              1              0       0.8571428571428571       7       
   258        18           6              1              0       0.8333333333333334       5       
   259        17           6              1              0       0.8333333333333334       5       
   260        18           6              1              0       0.8333333333333334       5       
   261        8            4              0              0             1.0             4       
   262        14           4              0              0             1.0             4       
   263        17           7              1              0       0.8571428571428571       6       
   264        11           2              0              0             1.0             4       
   265        19           7              1              0       0.8571428571428571       7       
   266        16           4              1              0            0.75             3       
   267        19           7              1              0       0.8571428571428571       7       
   268        17           5              1              0             0.8             4       
   269        18           7              1              0       0.8571428571428571       7       
   270        16           5              0              0             1.0             6       
   271        17           7              1              0       0.8571428571428571       6       
   272        16           5              1              0             0.8             4       
   273        14           4              0              0             1.0             4       
   274        16           6              1              0       0.8333333333333334       6       
   275        18           7              1              0       0.8571428571428571       7       
   276        14           4              0              0             1.0             4       
   277        17           5              1              0             0.8             5       
   278        19           7              1              0       0.8571428571428571       7       
   279        18           7              1              0       0.8571428571428571       7       
   280        17           5              1              0             0.8             4       
   281        17           6              1              0       0.8333333333333334       5       
   282        18           6              0              0             1.0             6       
   283        18           6              1              0       0.8333333333333334       5       
   284        16           4              0              0             1.0             5       
   285        18           6              1              0       0.8333333333333334       5       
   286        19           7              1              0       0.8571428571428571       7       
   287        15           4              0              0             1.0             5       
   288        17           5              1              0             0.8             5       
   289        19           7              1              0       0.8571428571428571       7       
   290        17           5              1              0             0.8             4       
   291        15           5              0              0             1.0             5       
   292        19           7              1              0       0.8571428571428571       6       
   293        17           5              0              0             1.0             5       
   294        11           5              0              0             1.0             5       
   295        15           5              0              0             1.0             6       
   296        20          10              1              0             0.9             9       
   297        13           4              0              0             1.0             4       
   298        11           5              0              0             1.0             5       
   299        14           3              0              0             1.0             3       
   300        17           5              0              0             1.0             5       
   301        16           6              0              0             1.0             6       
   302        18           6              1              0       0.8333333333333334       6       
   303        19           7              1              0       0.8571428571428571       6       
   304        16           4              1              0            0.75             4       
   305        16           5              1              0             0.8             5       
   306        16           6              0              0             1.0             6       
   307        17           7              2              0       0.7142857142857143       5       
   308        10           2              0              0             1.0             2       
   309        18           6              1              0       0.8333333333333334       5       
   310        15           6              1              0       0.8333333333333334       5       
   311        14           4              0              0             1.0             4       
   312        18           6              1              0       0.8333333333333334       6       
   313        17           5              1              0             0.8             5       
