56	5
76	5
78	6
82	5
86	5
88	5
103	8
104	5
105	8
106	5
107	6
124	5
128	5
130	6
131	6
139	5
140	6
141	7
142	6
143	6
147	6
148	7
150	6
165	5
181	6
941	5
942	5
950	7
952	5
955	5
957	5
961	5
962	5
967	7
968	5
978	5
1000	6
1005	5
1011	7
1012	6
1014	6
1696	8
1697	8
1698	8
1699	8
1700	8
1701	8
1702	8
1703	8
1704	8
1705	8
1706	8
1707	8
1708	8
1709	8
1710	8
1711	8
1712	8
1713	8
1714	8
1715	8
1716	8
1717	5
1718	5
1721	5
1722	6
1725	5
1728	5
1730	5
1732	5
1734	5
1737	5
1738	6
1741	5
1743	5
1746	5
1748	5
1749	6
1752	6
1753	6
