58	8
77	8
79	9
81	7
83	7
87	8
89	8
108	9
111	8
112	11
113	11
123	7
129	8
132	9
134	7
144	10
145	9
146	9
149	11
176	8
183	9
189	7
940	8
943	8
954	8
958	7
965	6
970	8
981	8
987	8
1001	9
1006	8
1013	10
1719	7
1720	8
1723	9
1724	8
1726	8
1727	8
1729	8
1731	8
1733	8
1735	8
1736	8
1739	7
1740	7
1742	8
1744	8
1745	8
1747	8
1750	9
1751	7
1754	8
1755	7
1756	8
1757	7
1758	9
1759	8
1760	8
1761	9
1762	8
1763	7
1764	8
1765	7
1766	11
1767	11
1768	11
1769	11
1770	11
1771	11
1772	11
1773	11
1774	11
1775	11
1776	11
1777	11
1778	11
1779	11
1780	11
1781	11
1782	11
1783	11
1784	11
