   NO.      Round     Ori_Content   Lack_Content   Extra_Content   Final_Cover  
   166        18           5              0              0             1.0             4       
   167        16           6              1              0       0.8333333333333334       4       
   168        10           2              0              0             1.0             3       
   169        17           7              1              0       0.8571428571428571       4       
   170        16           6              1              0       0.8333333333333334       5       
   171        15           5              1              0             0.8             4       
   172        17           6              1              0       0.8333333333333334       4       
   173        16           5              0              0             1.0             3       
   174        18           5              0              0             1.0             4       
   175        18           5              1              0             0.8             5       
   176        11           4              0              0             1.0             2       
   177        18           5              1              0             0.8             5       
   178        16           3              0              0             1.0             3       
   179        16           6              1              0       0.8333333333333334       3       
   180        19           6              1              0       0.8333333333333334       4       
   181        18           5              1              0             0.8             5       
   182        17           4              1              0            0.75             3       
   183        18           8              1              0            0.875            3       
   184        16           5              0              0             1.0             5       
   185        15           5              0              0             1.0             4       
   186        16           6              0              0             1.0             4       
   187        14           3              0              0             1.0             4       
   188        17           4              1              0            0.75             3       
   189        10           2              0              0             1.0             3       
   190        14           3              0              0             1.0             3       
   191        15           5              1              0             0.8             5       
   192        19           6              0              0             1.0             4       
   193        14           4              0              0             1.0             5       
   194        16           3              0              0             1.0             3       
   195        18           5              1              0             0.8             5       
   196        11           3              1              0       0.6666666666666666       3       
   197        16           5              0              0             1.0             5       
   198        17           6              1              0       0.8333333333333334       4       
   199        19           6              1              0       0.8333333333333334       4       
   200        16           3              0              0             1.0             3       
   201        15           5              0              0             1.0             5       
   202        17           4              1              0            0.75             3       
   203        16           3              0              0             1.0             3       
   204        14           3              0              0             1.0             3       
   205        19           6              0              0             1.0             4       
   206        20           8              1              0            0.875            4       
   207        18           5              1              0             0.8             5       
   208        16           3              0              0             1.0             3       
   209        17           4              1              0            0.75             4       
   210        16           6              1              0       0.8333333333333334       3       
   211        16           4              0              0             1.0             3       
   212        15           5              0              0             1.0             3       
   213        16           3              0              0             1.0             3       
   214        18           5              1              0             0.8             5       
   215        18           5              1              0             0.8             5       
   216        19           6              0              0             1.0             4       
   217        10           6              0              0             1.0             4       
   218        17           4              0              0             1.0             5       
   219        15           4              1              0            0.75             4       
   220        20           7              1              0       0.8571428571428571       5       
   221        17           4              0              0             1.0             5       
   222        18           5              1              0             0.8             4       
   223        18           5              1              0             0.8             5       
   224        11           3              1              0       0.6666666666666666       2       
   225        18           8              1              0            0.875            3       
   226        16           6              1              0       0.8333333333333334       3       
   227        19           6              0              0             1.0             4       
   228        14           3              0              0             1.0             4       
   229        12           3              0              0             1.0             3       
   230        20           7              1              0       0.8571428571428571       4       
   231        10           2              0              0             1.0             2       
   232        18           5              1              0             0.8             5       
   233        15           5              0              0             1.0             3       
   234        19           6              1              0       0.8333333333333334       4       
   235        18           5              1              0             0.8             6       
   236        18           5              1              0             0.8             5       
   237        17           7              1              0       0.8571428571428571       3       
   238        17           4              0              0             1.0             4       
   239        18           5              1              0             0.8             5       
   240        18           6              0              0             1.0             4       
   241        14           3              0              0             1.0             5       
   242        21           8              0              0             1.0             4       
   243        17           4              0              0             1.0             5       
   244        18           5              1              0             0.8             5       
   245        12           6              1              0       0.8333333333333334       2       
   246        18           5              1              0             0.8             5       
   247        14           3              0              0             1.0             3       
   248        17           4              1              0            0.75             3       
   249        18           5              1              0             0.8             5       
   250        10           2              0              0             1.0             2       
   251        9            5              0              0             1.0             4       
   252        16           6              1              0       0.8333333333333334       4       
   253        18           6              1              0       0.8333333333333334       5       
   254        18           5              1              0             0.8             5       
   255        17           6              1              0       0.8333333333333334       4       
   256        18           5              1              0             0.8             5       
   257        17           7              1              0       0.8571428571428571       4       
   258        19           6              1              0       0.8333333333333334       4       
   259        18           6              1              0       0.8333333333333334       5       
   260        19           6              1              0       0.8333333333333334       4       
   261        8            4              0              0             1.0             4       
   262        14           4              0              0             1.0             4       
   263        17           7              1              0       0.8571428571428571       3       
   264        11           2              0              0             1.0             3       
   265        20           7              1              0       0.8571428571428571       4       
   266        17           4              1              0            0.75             4       
   267        20           7              1              0       0.8571428571428571       4       
   268        18           5              1              0             0.8             5       
   269        19           7              1              0       0.8571428571428571       4       
   270        16           5              0              0             1.0             3       
   271        17           7              1              0       0.8571428571428571       3       
   272        16           5              1              0             0.8             4       
   273        14           4              0              0             1.0             4       
   274        16           6              1              0       0.8333333333333334       3       
   275        19           7              1              0       0.8571428571428571       4       
   276        14           4              0              0             1.0             5       
   277        18           5              1              0             0.8             5       
   278        20           7              1              0       0.8571428571428571       4       
   279        19           7              1              0       0.8571428571428571       4       
   280        18           5              1              0             0.8             5       
   281        18           6              1              0       0.8333333333333334       5       
   282        19           6              0              0             1.0             4       
   283        19           6              1              0       0.8333333333333334       4       
   284        17           4              0              0             1.0             3       
   285        19           6              1              0       0.8333333333333334       4       
   286        20           7              1              0       0.8571428571428571       4       
   287        15           4              0              0             1.0             4       
   288        18           5              1              0             0.8             5       
   289        20           7              1              0       0.8571428571428571       4       
   290        18           5              1              0             0.8             4       
   291        15           5              0              0             1.0             4       
   292        20           7              1              0       0.8571428571428571       4       
   293        18           5              0              0             1.0             4       
   294        11           5              0              0             1.0             2       
   295        15           5              0              0             1.0             3       
   296        20          10              1              0             0.9             3       
   297        13           4              0              0             1.0             3       
   298        11           5              0              0             1.0             3       
   299        14           3              0              0             1.0             3       
   300        18           5              0              0             1.0             4       
   301        16           6              0              0             1.0             3       
   302        19           6              1              0       0.8333333333333334       4       
   303        20           7              1              0       0.8571428571428571       4       
   304        17           4              1              0            0.75             3       
   305        16           5              1              0             0.8             4       
   306        16           6              0              0             1.0             3       
   307        17           7              2              0       0.7142857142857143       4       
   308        10           2              0              0             1.0             2       
   309        19           6              1              0       0.8333333333333334       4       
   310        15           6              1              0       0.8333333333333334       4       
   311        14           4              0              0             1.0             4       
   312        19           6              1              0       0.8333333333333334       4       
   313        18           5              1              0             0.8             5       
   314        17           6              0              0             1.0             3       
   315        17           7              1              0       0.8571428571428571       4       
   316        18           6              1              0       0.8333333333333334       4       
   317        17           6              1              0       0.8333333333333334       4       
   318        16           5              0              0             1.0             5       
   319        20           7              1              0       0.8571428571428571       4       
   320        18           5              0              0             1.0             4       
   321        18           5              1              0             0.8             5       
   322        17           7              1              0       0.8571428571428571       3       
   323        19           6              1              0       0.8333333333333334       4       
   324        22           9              1              0       0.8888888888888888       4       
   325        16           5              1              0             0.8             4       
   326        18           5              1              0             0.8             4       
   327        16           5              1              0             0.8             3       
   328        18           5              1              0             0.8             5       
   329        17           5              1              0             0.8             3       
   330        19           7              0              0             1.0             4       
   331        20           7              1              0       0.8571428571428571       4       
   332        15           4              1              0            0.75             4       
   333        17           4              1              0            0.75             4       
   334        17           4              1              0            0.75             3       
   335        11           4              0              0             1.0             2       
   336        20           8              1              0            0.875            4       
   337        18           5              1              0             0.8             5       
   338        16           6              1              0       0.8333333333333334       4       
   339        18           5              1              0             0.8             5       
   340        18           5              0              0             1.0             4       
   341        14           3              0              0             1.0             4       
   342        20           7              1              0       0.8571428571428571       4       
   343        17           6              1              0       0.8333333333333334       5       
   344        15           5              1              0             0.8             4       
   345        17           4              1              0            0.75             3       
   346        20           8              1              0            0.875            4       
   347        17           4              0              0             1.0             5       
   348        19           7              1              0       0.8571428571428571       4       
   349        16           7              1              0       0.8571428571428571       4       
   350        20           7              1              0       0.8571428571428571       4       
   351        17           4              1              0            0.75             4       
   352        14           3              0              0             1.0             4       
   353        14           3              0              0             1.0             4       
   354        15           4              1              0            0.75             4       
   355        16           5              0              0             1.0             3       
   356        17           6              1              0       0.8333333333333334       4       
   357        15           4              0              0             1.0             3       
   358        19           6              1              0       0.8333333333333334       4       
   359        19           6              1              0       0.8333333333333334       4       
   360        11           4              0              0             1.0             3       
   361        15           5              1              0             0.8             4       
   362        19           6              0              0             1.0             4       
   363        17           4              0              0             1.0             4       
   364        20           7              0              0             1.0             4       
   365        19           7              0              0             1.0             4       
   366        18           5              1              0             0.8             5       
   367        17           5              0              0             1.0             4       
   368        17           6              1              0       0.8333333333333334       4       
   369        18           5              0              0             1.0             4       
   370        18           5              1              0             0.8             4       
   371        16           6              1              0       0.8333333333333334       3       
   372        18           5              1              0             0.8             5       
   373        19           9              1              0       0.8888888888888888       4       
   374        18           5              1              0             0.8             5       
   375        18           5              1              0             0.8             5       
   376        15           4              1              0            0.75             4       
   377        20           7              1              0       0.8571428571428571       4       
   378        11           2              0              0             1.0             3       
   379        10           2              0              0             1.0             2       
   380        20           7              0              0             1.0             4       
   381        11           4              0              0             1.0             3       
   382        19           6              1              0       0.8333333333333334       4       
   383        18           5              1              0             0.8             4       
   384        15           4              1              0            0.75             5       
   385        10           2              0              0             1.0             2       
   386        19           6              1              0       0.8333333333333334       4       
   387        18           6              0              0             1.0             4       
   388        16           3              0              0             1.0             3       
   389        18           5              1              0             0.8             4       
   390        19           6              1              0       0.8333333333333334       4       
   391        8            4              0              0             1.0             4       
   392        16           3              0              0             1.0             3       
   393        12           5              1              0             0.8             2       
   394        17           4              1              0            0.75             3       
   395        18           6              1              0       0.8333333333333334       4       
   396        20           7              1              0       0.8571428571428571       4       
   397        16           3              0              0             1.0             3       
   398        18           6              0              0             1.0             4       
   399        18           5              1              0             0.8             5       
   400        16           6              1              0       0.8333333333333334       3       
   401        18           5              1              0             0.8             5       
   402        18           5              1              0             0.8             5       
   403        14           3              0              0             1.0             4       
   404        18           5              1              0             0.8             4       
   405        18           5              1              0             0.8             4       
   406        19           6              1              0       0.8333333333333334       4       
   407        17           4              0              0             1.0             6       
   408        19           7              1              0       0.8571428571428571       4       
   409        15           5              1              0             0.8             4       
   410        14           3              0              0             1.0             4       
   411        14           3              0              0             1.0             4       
   412        17           7              1              0       0.8571428571428571       3       
   413        16           3              0              0             1.0             3       
   414        16           5              1              0             0.8             4       
   415        16           7              1              0       0.8571428571428571       3       
   416        11           3              1              0       0.6666666666666666       3       
   417        18           5              1              0             0.8             4       
   418        17           7              0              0             1.0             3       
   419        17           6              1              0       0.8333333333333334       4       
   420        14           3              0              0             1.0             4       
   421        18           5              1              0             0.8             5       
   422        15           5              1              0             0.8             4       
   423        20           7              1              0       0.8571428571428571       4       
   424        18           5              0              0             1.0             5       
   425        20           7              1              0       0.8571428571428571       4       
   426        11           2              0              0             1.0             3       
   427        17           4              1              0            0.75             3       
   428        14           4              0              0             1.0             4       
   429        16           5              0              0             1.0             3       
   430        20           7              1              0       0.8571428571428571       4       
   431        15           5              0              0             1.0             4       
   432        17           7              0              0             1.0             3       
   433        11           2              0              0             1.0             4       
   434        17           7              0              0             1.0             4       
   435        10           2              0              0             1.0             2       
   436        16           3              0              0             1.0             4       
   437        18           5              1              0             0.8             4       
   438        17           4              0              0             1.0             4       
   439        14           3              0              0             1.0             5       
   440        16           4              0              0             1.0             3       
   441        18           5              1              0             0.8             5       
   442        18           5              1              0             0.8             5       
   443        16           3              0              0             1.0             3       
   444        18           8              1              0            0.875            3       
   445        11           3              1              0       0.6666666666666666       3       
   446        20           8              1              0            0.875            4       
   447        14           3              0              0             1.0             3       
   448        18           5              1              0             0.8             4       
   449        11           4              0              0             1.0             2       
   450        19           6              0              0             1.0             4       
   451        19           6              0              0             1.0             4       
   452        17           4              1              0            0.75             3       
   453        17           5              1              0             0.8             3       
   454        17           4              0              0             1.0             4       
   455        15           4              0              0             1.0             3       
   456        16           6              1              0       0.8333333333333334       4       
   457        16           6              1              0       0.8333333333333334       3       
   458        16           5              0              0             1.0             4       
   459        16           3              0              0             1.0             3       
   460        20           7              1              0       0.8571428571428571       4       
   461        14           3              0              0             1.0             4       
   462        17           4              0              0             1.0             5       
   463        20           7              1              0       0.8571428571428571       4       
   464        18           5              1              0             0.8             6       
   465        14           3              0              0             1.0             4       
