52	0 0 0 0 0 6 0 5 0 9999 
60	0 9999 0 9999 1.0 2.0 4.0 9999.0 50.0 100.0 
61	0 9999 0 9999 1.0 1.0 4.0 9999.0 50.0 100.0 
62	0 9999 0 9999 2.0 4.0 5.0 5.0 0.0 9999.0 
63	0 9999 0 9999 0 6 0 5 0 9999 
203	0 0 0 0 1.0 2.0 4.0 9999.0 0.0 20.0 
204	0 0 0 0 1.0 2.0 4.0 9999.0 150.0 200.0 
205	0 0 0 0 1.0 1.0 4.0 9999.0 20.0 50.0 
206	0 0 0 0 2.0 3.0 4.0 9999.0 150.0 200.0 
207	0 0 0 0 3.0 4.0 4.0 9999.0 150.0 200.0 
208	0 0 0 0 2.0 3.0 5.0 5.0 20.0 50.0 
209	0 0 0 0 3.0 4.0 4.0 9999.0 20.0 50.0 
210	0 0 0 0 1.0 1.0 4.0 9999.0 150.0 200.0 
211	0 0 0 0 1.0 2.0 4.0 9999.0 200.0 9999.0 
212	0 0 0 0 1.0 2.0 4.0 9999.0 100.0 150.0 
213	0 0 0 0 2.0 4.0 4.0 9999.0 100.0 150.0 
214	0 0 0 0 1.0 2.0 5.0 5.0 150.0 200.0 
215	0 0 0 0 2.0 4.0 4.0 9999.0 150.0 200.0 
216	0 0 0 0 2.0 3.0 4.0 9999.0 50.0 100.0 
217	0 0 0 0 1.0 2.0 4.0 9999.0 50.0 100.0 
218	0 0 0 0 1.0 2.0 5.0 5.0 100.0 150.0 
219	0 0 0 0 1.0 1.0 4.0 9999.0 50.0 100.0 
220	0 0 0 0 1.0 1.0 4.0 9999.0 100.0 150.0 
221	0 0 0 0 0.0 1.0 4.0 9999.0 100.0 150.0 
222	0 0 0 0 2.0 3.0 4.0 9999.0 20.0 50.0 
223	0 0 0 0 2.0 2.0 4.0 9999.0 100.0 150.0 
224	0 0 0 0 2.0 3.0 5.0 5.0 100.0 150.0 
225	0 0 0 0 2.0 2.0 4.0 9999.0 200.0 9999.0 
226	0 0 0 0 1.0 3.0 4.0 9999.0 0.0 9999.0 
227	0 0 0 0 2.0 4.0 4.0 9999.0 20.0 50.0 
228	0 0 0 0 2.0 4.0 4.0 9999.0 0.0 20.0 
229	0 0 0 0 2.0 4.0 5.0 5.0 0.0 9999.0 
230	0 0 0 0 3.0 4.0 4.0 9999.0 100.0 150.0 
231	0 0 0 0 0.5 0.5 4.0 9999.0 50.0 100.0 
232	0 0 0 0 3.0 5.0 5.0 5.0 200.0 9999.0 
233	0 0 0 0 3.0 6.0 4.0 9999.0 200.0 9999.0 
234	0 0 0 0 1.0 1.0 4.0 9999.0 0.0 20.0 
235	0 0 0 0 2.0 6.0 4.0 9999.0 50.0 100.0 
236	0 0 0 0 3.0 3.0 4.0 9999.0 50.0 100.0 
237	0 0 0 0 1.0 2.0 4.0 9999.0 20.0 50.0 
238	0 0 0 0 3.0 5.0 4.0 9999.0 150.0 200.0 
936	0 0 0 0 2.0 2.0 4.0 9999.0 0 9999 
979	0 0 0 0 0 6 4.0 9999.0 0 9999 
1008	0 0 0 0 0 6 4.0 9999.0 150.0 200.0 
