   NO.      Round     Ori_Content   Lack_Content   Extra_Content   Final_Cover  
   121        16           5              0              0             1.0      
   122        27           8              0              0             1.0      
   123        16           5              0              0             1.0      
   124        17           5              1              0             0.8      
   125        11           4              0              0             1.0      
   126        9            3              0              0             1.0      
   127        14           4              1              0            0.75      
   128        27           8              0              0             1.0      
   129        25           7              1              0       0.8571428571428571
   130        20           6              1              0       0.8333333333333334
   131        10           3              0              0             1.0      
   132        19           6              0              0             1.0      
   133        23           7              1              0       0.8571428571428571
   134        16           5              0              0             1.0      
   135        15           4              1              0            0.75      
   136        16           5              0              0             1.0      
   137        17           5              0              0             1.0      
   138        19           6              0              0             1.0      
   139        8            2              0              0             1.0      
   140        16           5              0              0             1.0      
   141        21           6              0              0             1.0      
   142        16           5              1              0             0.8      
   143        20           6              0              0             1.0      
   144        15           5              0              0             1.0      
   145        17           5              0              0             1.0      
   146        23           7              0              0             1.0      
   147        12           4              0              0             1.0      
   148        15           5              0              0             1.0      
   149        15           4              0              0             1.0      
   150        16           5              1              0             0.8      
   151        20           6              1              0       0.8333333333333334
   152        8            2              0              0             1.0      
   153        12           4              0              0             1.0      
   154        12           3              1              0       0.6666666666666666
   155        15           5              0              0             1.0      
   156        10           3              0              0             1.0      
   157        16           5              1              0             0.8      
   158        12           4              0              0             1.0      
   159        21           6              0              0             1.0      
   160        15           5              0              0             1.0      
   161        10           3              0              0             1.0      
   162        13           4              0              0             1.0      
   163        15           5              0              0             1.0      
   164        18           5              0              0             1.0      
   165        19           5              1              0             0.8      
   166        15           5              0              0             1.0      
   167        20           6              0              0             1.0      
   168        8            2              0              0             1.0      
   169        25           7              1              0       0.8571428571428571
   170        20           6              0              0             1.0      
   171        18           5              0              0             1.0      
   172        20           6              1              0       0.8333333333333334
   173        16           5              0              0             1.0      
   174        15           5              0              0             1.0      
   175        16           5              1              0             0.8      
   176        15           4              0              0             1.0      
   177        16           5              1              0             0.8      
   178        10           3              0              0             1.0      
   179        21           6              1              0       0.8333333333333334
   180        18           6              0              0             1.0      
   181        15           5              0              0             1.0      
   182        14           4              1              0            0.75      
   183        27           8              1              0            0.875     
   184        16           5              0              0             1.0      
   185        17           5              0              0             1.0      
   186        20           6              0              0             1.0      
   187        10           3              0              0             1.0      
   188        14           4              1              0            0.75      
   189        8            2              0              0             1.0      
   190        10           3              0              0             1.0      
   191        19           5              1              0             0.8      
   192        18           6              0              0             1.0      
   193        15           4              0              0             1.0      
   194        10           3              0              0             1.0      
   195        16           5              1              0             0.8      
   196        11           3              0              0             1.0      
   197        16           5              0              0             1.0      
   198        20           6              1              0       0.8333333333333334
   199        19           6              1              0       0.8333333333333334
   200        9            3              0              0             1.0      
   201        18           5              0              0             1.0      
   202        13           4              1              0            0.75      
   203        9            3              0              0             1.0      
   204        10           3              0              0             1.0      
   205        18           6              0              0             1.0      
   206        26           8              0              0             1.0      
   207        15           5              0              0             1.0      
   208        9            3              0              0             1.0      
   209        13           4              1              0            0.75      
   210        21           6              1              0       0.8333333333333334
   211        15           4              0              0             1.0      
   212        17           5              0              0             1.0      
   213        10           3              0              0             1.0      
   214        15           5              0              0             1.0      
   215        15           5              0              0             1.0      
   216        18           6              0              0             1.0      
   217        22           6              0              0             1.0      
   218        11           4              0              0             1.0      
   219        14           4              1              0            0.75      
   220        23           7              1              0       0.8571428571428571
   221        11           4              0              0             1.0      
   222        16           5              0              0             1.0      
   223        16           5              0              0             1.0      
   224        10           3              0              0             1.0      
   225        27           8              0              0             1.0      
   226        22           6              1              0       0.8333333333333334
   227        19           6              0              0             1.0      
   228        8            3              0              0             1.0      
   229        10           3              0              0             1.0      
   230        23           7              1              0       0.8571428571428571
   231        7            2              0              0             1.0      
   232        16           5              0              0             1.0      
   233        18           5              0              0             1.0      
   234        19           6              0              0             1.0      
   235        16           5              0              0             1.0      
   236        15           5              0              0             1.0      
   237        24           7              1              0       0.8571428571428571
   238        12           4              0              0             1.0      
   239        15           5              0              0             1.0      
   240        20           6              0              0             1.0      
   241        10           3              0              0             1.0      
   242        24           8              0              0             1.0      
   243        12           4              0              0             1.0      
   244        15           5              0              0             1.0      
   245        22           6              0              0             1.0      
   246        16           5              1              0             0.8      
   247        10           3              0              0             1.0      
   248        13           4              1              0            0.75      
   249        16           5              1              0             0.8      
   250        7            2              0              0             1.0      
   251        17           5              0              0             1.0      
   252        22           6              1              0       0.8333333333333334
   253        22           6              1              0       0.8333333333333334
   254        16           5              1              0             0.8      
   255        20           6              1              0       0.8333333333333334
   256        17           5              1              0             0.8      
   257        24           7              0              0             1.0      
   258        18           6              0              0             1.0      
   259        22           6              1              0       0.8333333333333334
   260        19           6              0              0             1.0      
   261        14           4              0              0             1.0      
   262        15           4              0              0             1.0      
   263        23           7              0              0             1.0      
   264        7            2              0              0             1.0      
   265        21           7              0              0             1.0      
   266        12           4              0              0             1.0      
   267        22           7              1              0       0.8571428571428571
   268        16           5              1              0             0.8      
   269        23           7              0              0             1.0      
   270        15           5              0              0             1.0      
   271        23           7              0              0             1.0      
   272        17           5              1              0             0.8      
   273        15           4              0              0             1.0      
   274        21           6              1              0       0.8333333333333334
   275        24           7              1              0       0.8571428571428571
   276        15           4              0              0             1.0      
   277        16           5              1              0             0.8      
   278        22           7              1              0       0.8571428571428571
   279        24           7              1              0       0.8571428571428571
   280        16           5              1              0             0.8      
   281        20           6              0              0             1.0      
   282        18           6              0              0             1.0      
