   NO.      Round     Ori_Content   Lack_Content   Extra_Content   Final_Cover  
    1         17           5              0              0             1.0      
    2         21           7              0              0             1.0      
    3         16           5              1              0             0.8      
    4         16           5              0              0             1.0      
    5         14           4              1              0            0.75      
    6         24           7              1              0       0.8571428571428571
    7         22           7              1              0       0.8571428571428571
    8         16           5              1              0             0.8      
    9         17           5              1              0             0.8      
    10        16           5              1              0             0.8      
    11        23           7              2              0       0.7142857142857143
    12        18           6              0              0             1.0      
    13        17           5              0              0             1.0      
    14        17           5              1              0             0.8      
    15        15           5              0              0             1.0      
    16        19           6              1              0       0.8333333333333334
    17        22           7              1              0       0.8571428571428571
    18        20           5              0              0             1.0      
    19        21           6              1              0       0.8333333333333334
    20        17           5              0              0             1.0      
    21        15           5              0              0             1.0      
    22        15           5              0              0             1.0      
    23        22           6              1              0       0.8333333333333334
    24        8            2              0              0             1.0      
    25        16           5              0              0             1.0      
    26        16           5              0              0             1.0      
    27        23           7              1              0       0.8571428571428571
    28        17           5              1              0             0.8      
    29        30           9              0              0             1.0      
    30        26           8              1              0            0.875     
    31        17           5              1              0             0.8      
    32        22           7              0              0             1.0      
    33        9            3              0              0             1.0      
    34        17           5              1              0             0.8      
    35        29           8              0              0             1.0      
    36        17           5              1              0             0.8      
    37        11           4              0              0             1.0      
    38        21           6              0              0             1.0      
    39        13           4              0              0             1.0      
    40        20           6              1              0       0.8333333333333334
    41        16           5              0              0             1.0      
    42        19           6              0              0             1.0      
    43        21           6              0              0             1.0      
    44        14           4              1              0            0.75      
    45        16           5              0              0             1.0      
    46        13           4              0              0             1.0      
    47        25           7              1              0       0.8571428571428571
    48        10           3              0              0             1.0      
    49        13           4              0              0             1.0      
    50        23           6              0              0             1.0      
    51        20           6              1              0       0.8333333333333334
    52        16           5              0              0             1.0      
    53        18           5              0              0             1.0      
    54        16           5              0              0             1.0      
    55        14           4              1              0            0.75      
    56        11           3              0              0             1.0      
    57        8            2              0              0             1.0      
    58        16           5              0              0             1.0      
    59        18           5              0              0             1.0      
    60        16           5              0              0             1.0      
    61        13           4              0              0             1.0      
    62        18           5              0              0             1.0      
    63        26           8              0              0             1.0      
    64        5            2              0              0             1.0      
    65        17           5              1              0             0.8      
    66        17           5              1              0             0.8      
    67        17           5              1              0             0.8      
    68        10           3              0              0             1.0      
    69        11           4              0              0             1.0      
    70        11           4              0              0             1.0      
    71        17           5              1              0             0.8      
    72        20           6              1              0       0.8333333333333334
    73        21           7              0              0             1.0      
    74        16           5              1              0             0.8      
    75        9            3              0              0             1.0      
    76        22           7              1              0       0.8571428571428571
    77        17           5              1              0             0.8      
    78        14           4              0              0             1.0      
    79        22           7              1              0       0.8571428571428571
    80        22           6              1              0       0.8333333333333334
    81        23           7              0              0             1.0      
    82        27           8              0              0             1.0      
    83        18           5              0              0             1.0      
    84        16           5              1              0             0.8      
    85        14           4              1              0            0.75      
    86        15           5              0              0             1.0      
    87        19           6              1              0       0.8333333333333334
    88        11           3              1              0       0.6666666666666666
    89        25           7              0              0             1.0      
    90        22           7              1              0       0.8571428571428571
    91        19           6              1              0       0.8333333333333334
    92        18           6              0              0             1.0      
    93        9            3              0              0             1.0      
    94        10           3              0              0             1.0      
    95        10           3              0              0             1.0      
    96        16           5              0              0             1.0      
    97        17           5              1              0             0.8      
    98        22           7              0              0             1.0      
    99        11           3              1              0       0.6666666666666666
   100        14           4              1              0            0.75      
   101        17           5              1              0             0.8      
   102        11           3              1              0       0.6666666666666666
   103        16           5              0              0             1.0      
   104        17           5              1              0             0.8      
   105        11           4              0              0             1.0      
   106        16           5              0              0             1.0      
   107        16           5              0              0             1.0      
   108        20           6              1              0       0.8333333333333334
   109        28           8              1              0            0.875     
   110        11           4              0              0             1.0      
   111        19           6              0              0             1.0      
   112        17           5              1              0             0.8      
   113        14           4              1              0            0.75      
   114        15           4              0              0             1.0      
   115        13           4              0              0             1.0      
   116        24           7              0              0             1.0      
   117        16           5              0              0             1.0      
   118        24           7              0              0             1.0      
   119        7            2              0              0             1.0      
   120        16           5              0              0             1.0      
