   NO.      Round     Ori_Content   Lack_Content   Extra_Content   Final_Cover  
    1         20           5              2              0             0.6      
    2         24           7              2              0       0.7142857142857143
    3         17           5              1              0             0.8      
    4         16           5              0              0             1.0      
    5         14           4              1              0            0.75      
    6         26           7              2              0       0.7142857142857143
    7         23           7              1              0       0.8571428571428571
    8         17           5              1              0             0.8      
    9         17           5              1              0             0.8      
    10        17           5              1              0             0.8      
    11        24           7              2              0       0.7142857142857143
    12        19           6              1              0       0.8333333333333334
    13        17           5              1              0             0.8      
    14        18           5              1              0             0.8      
    15        17           5              1              0             0.8      
    16        20           6              1              0       0.8333333333333334
    17        23           7              1              0       0.8571428571428571
    18        22           5              2              0             0.6      
    19        22           6              2              0       0.6666666666666666
    20        21           5              2              0             0.6      
    21        16           5              1              0             0.8      
    22        16           5              0              0             1.0      
    23        22           6              2              0       0.6666666666666666
    24        8            2              0              0             1.0      
    25        17           5              1              0             0.8      
    26        16           5              1              0             0.8      
    27        22           7              1              0       0.8571428571428571
    28        17           5              1              0             0.8      
    29        32           9              2              0       0.7777777777777778
    30        26           8              1              0            0.875     
    31        17           5              1              0             0.8      
    32        22           7              0              0             1.0      
    33        10           3              0              0             1.0      
    34        17           5              1              0             0.8      
    35        32           8              3              0            0.625     
    36        17           5              1              0             0.8      
    37        12           4              0              0             1.0      
    38        22           6              1              0       0.8333333333333334
    39        13           4              0              0             1.0      
    40        20           6              1              0       0.8333333333333334
    41        17           5              1              0             0.8      
    42        19           6              0              0             1.0      
    43        22           6              2              0       0.6666666666666666
    44        14           4              1              0            0.75      
    45        17           5              1              0             0.8      
    46        13           4              0              0             1.0      
    47        26           7              2              0       0.7142857142857143
    48        12           3              1              0       0.6666666666666666
    49        14           4              1              0            0.75      
    50        25           6              2              0       0.6666666666666666
    51        20           6              1              0       0.8333333333333334
    52        17           5              1              0             0.8      
    53        20           5              1              0             0.8      
    54        17           5              1              0             0.8      
    55        14           4              1              0            0.75      
    56        11           3              1              0       0.6666666666666666
    57        7            2              0              0             1.0      
    58        16           5              0              0             1.0      
    59        19           5              1              0             0.8      
    60        17           5              1              0             0.8      
    61        13           4              0              0             1.0      
    62        18           5              1              0             0.8      
    63        29           8              2              0            0.75      
    64        5            2              0              0             1.0      
    65        17           5              1              0             0.8      
    66        17           5              1              0             0.8      
    67        17           5              1              0             0.8      
    68        10           3              0              0             1.0      
    69        11           4              0              0             1.0      
    70        12           4              0              0             1.0      
    71        16           5              1              0             0.8      
    72        20           6              1              0       0.8333333333333334
    73        23           7              1              0       0.8571428571428571
    74        17           5              1              0             0.8      
    75        10           3              0              0             1.0      
    76        23           7              1              0       0.8571428571428571
    77        17           5              1              0             0.8      
    78        16           4              1              0            0.75      
    79        23           7              1              0       0.8571428571428571
    80        23           6              2              0       0.6666666666666666
    81        25           7              1              0       0.8571428571428571
    82        29           8              2              0            0.75      
